sent,label
Remind me to keep the pass back at 2.00 pm tomorrow (19th November),keep the pass back at 2.00 pm tomorrow (19th November)
Remind me bro bday at 11am today,bro bday at 11am today
Remind me for economics notes at 2:50PM today,for economics notes at 2:50PM today
Remind me to take a book for assinment today at 12:00 pm ok,take a book for assinment today at 12:00 pm ok
Set reminder on 5th December for visiting doctor on 6th December at Park clinic,5th December for visiting doctor on 6th December at Park clinic
Repeat alarm at 8 am please,Not Found
And also remain me on Friday 10 am about medical bill,Friday 10 am about medical bill
Remind me same at 10.40pm today,same at 10.40pm today
At least there should be notification popup because how would i get the reminder that i have to do something,that i have to do something
Remind me to ask simar to do 10 maths questions and learn square root table,ask simar to do 10 maths questions and learn square root table
Also remind me to mail the presentation to Bloomberg tomorrow at 11 am,mail the presentation to Bloomberg tomorrow at 11 am
Can u remind me on Monday at 1100 am to ask muthu on confirmation for the training,remind me on Monday at 1100 am to ask muthu on confirmation for the training
Reminder for ticket booking,ticket booking
Remind me tommorow to write jaasa uncle's 2000 rupees at 12 pm,write jaasa uncle's 2000 rupees at 12 pm
Can you remind me for tomorrow,remind me for tomorrow
Set a reminder for 4pm also Medical check up,reminder for 4pm also Medical check up
i have problem with 11:58pm reminder please remoe it,problem with 11:58pm reminder please remoe it
Reminder for study time,study time
Pls remind me to that I need to submit my documents tmw mng,that I need to submit my documents tmw mng
Okay thank you... That will be total 2 reminders is it?,total 2 reminders is it?
Please remind me to get ioning cloths at 730 pm today evening,get ioning cloths at 730 pm today evening
Remind me tomorrow about buying pen for taran with bill. At 9 am.,tomorrow about buying pen for taran with bill. At 9 am.
Remind me to go to dad's shop @ 2:30 pm,go to dad's shop @ 2:30 pm
Tomo evening at 4.30 pm remember me i should go to near basavana bhavan,near basavana bhavan
remind me to watch baar bar dekho at 8.00 pm today,watch baar bar dekho at 8.00 pm today
"Hello, when did I ask for this reminder?",Not Found
Please remind me to do payment of credit card today at 10:10 am,do payment of credit card today at 10:10 am
i need a reminder in tamil,Not Found
please remind me to open crystals at 1655 hours,open crystals at 1655 hours
Via call?,Phrase Not Found
Edit my reminder,Not Found
Remind me in 12:50pm,Not Found
Add some more reminders,Phrase Not Found
Remind me to book tickets today,book tickets today
I want to remind to my wife birthday,my wife birthday
i will stopped reminder...,Not Found
Alert tone?,Not Found
Set me a reminder after 12 minutes,Not Found
Can u remind me every day that i have punch in at zinger at 9:45 am ??,remind me every day that i have punch in at zinger at 9:45 am ??
Ya sure you can,Not Found
Everyday,Not Found
If my provided number will be out of reach den plz make me a call on 8804033000,out of reach den plz make me a call on 8804033000
"Set Alarm from 10:400AM to 10:50AM, today, 2 minutes difference",Not Found
Also remind me to book ticket of partha on 3rd Jan at 09:30,book ticket of partha on 3rd Jan at 09:30
Add a reminder on 24th nov at 3.30 at meet Mr. Oak,24th nov at 3.30 at meet Mr. Oak
And remind me to check mi store,check mi store
How can i set reminders,Not Found
I want to change my child name from kanishk to kanishk lodha in birth certificate tell me procedure for Tamil nadu Chennai Wat is easiest way,change my child name from kanishk to kanishk lodha in birth certificate tell me procedure for Tamil nadu Chennai Wat is easiest way
"Please call.me on 10 Nov, 2016 at 11 am IST please","10 Nov, 2016 at 11 am IST please"
Give a cll to me at 4pm today to remind me to buy smthing,me at 4pm today to remind me to buy smthing
Any upcoming events?,Phrase Not Found
remind me 9pm,9pm
"Hi, please remind me tomorrow to go to parlour for my eyebrows done.ok",remind me tomorrow to go to parlour for my eyebrows done.ok
Today I have set a reminder at morning 9 am,Not Found
Thank u for remember me,Not Found
My reminder came late,Not Found
Does haptik send me reminders from a single mobile number?,Phrase Not Found
But call on above mention number just said recharge,above mention number just said recharge
Remind me to buy eggs at 6 pm today,buy eggs at 6 pm today
My reminder of march 18th 2017,march 18th 2017
Cud u make it hydrating reminder frequency by hour,Not Found
I want to set it as yearly reminder,Not Found
Thanks man...i ll let you know in case of any assistance,let you know in case of any assistance
K thks remember with me,Phrase Not Found
I said except on sunday I need a daily alarm at 7:05 AM,Not Found
Remind me to collect headpone today at 5pm,collect headpone today at 5pm
Plz remind me to eat something at 7pm,eat something at 7pm
Please dismiss all my reminders,Phrase Not Found
Remind me today at 8:00 pm to make note,today at 8:00 pm to make note
Can I set reminder for another phone from this phone?,reminder for another phone from this phone?
Remind on Monday to call Vivin at 11 am,call Vivin at 11 am
I also need a general reminder to upload the documents at 11.30 am,general reminder to upload the documents at 11.30 am
Please remind me that I have a flight from Chandigarh to Pune tomorrow at 1430 hours,me that I have a flight from Chandigarh to Pune tomorrow at 1430 hours
Change the frequency of reminder,Not Found
Alarm same time this morning please?,Not Found
Can you remind me whenever JEE and Gujcet exam online application starts??,remind me whenever JEE and Gujcet exam online application starts??
Whats that reminder for,Not Found
Remind me at 4:20 pm,at 4:20 pm
Reminders for every month,month
Tell me about best and safe file sharing app,about best and safe file sharing app
Pls remind for go to garden at 430pm,garden at 430pm
Please do setup reminder,Not Found
"Surely,Thanks. The same will be for the Language Reminder too?",Not Found
How could uhh remind me,Not Found
Second d reminder today 830 pm for the same,Not Found
Remind for RO service,RO service
Call me immediately,immediately
Pls remind on 7th Jan 2017 at 11am for filling hallticket of nmis,filling hallticket of nmis
Remind me for purchase of pillows at 5 pm today,for purchase of pillows at 5 pm today
Ok can you schedule the same task for 2:45 pm today,Not Found
Every Saturday at 9 pm,Phrase Not Found
I need a reminder,Not Found
Reminder on another number,Phrase Not Found
Remind me about Lenskart,about Lenskart
Phone call,Phrase Not Found
Will u plz set a reminder for me,Not Found
I need a reminder after 56 days,Not Found
Please remind me morrow at 5.15,Not Found
Remind me at 4 pm to visit ICICI Bank and boxer,at 4 pm to visit ICICI Bank and boxer
Can you remind me to do the same after an hour please?,Not Found
Does my phone need to be connected to Internet for reminders?,be connected to Internet for reminders?
Set an alarm for 9 am today,Not Found
Give a reminder to carry laptop,carry laptop
And remind me to do on every Monday to yuvakender at 9:25pm,yuvakender at 9:25pm
Set one more reminder for tonight 930pm,Not Found
How will I get a reminder?,reminder?
can you remaind me to sleep at 10.35pm today,remaind me to sleep at 10.35pm today
Remind me to submit my taxes and pay the man all my money at 12:24,submit my taxes and pay the man all my money at 12:24
Remind me to go to david sassoon library at 1.30,go to david sassoon library at 1.30
I wwant to make one more reminder,Not Found
Remind me to take interview of Pooja on 7th Dec at 8 P. M.,take interview of Pooja on 7th Dec at 8 P. M.
Remind me to get true copy of agreement tomorrow,get true copy of agreement tomorrow
Remind me on 7 January for visit to borivali for Nagaur got at 3 pm,7 January for visit to borivali for Nagaur got at 3 pm
Call me on,on
Please remind me the above,Not Found
Can you remind me to book ticket's for dec end tomorrow ??,book ticket's for dec end tomorrow ??
Thanks for reminder.......,Not Found
Need repeat alarm in next 5 min,Phrase Not Found
Remind me to follow up with nana at 7 pm today.,follow up with nana at 7 pm today.
Call me in 7898117441,Not Found
I want a reminder to go to Aziza at 4pm,go to Aziza at 4pm
Remind me this at 11 am,this at 11 am
Please remind me on 3rd dec 2016... to deactivate active fitness pkg,3rd dec 2016... to deactivate active fitness pkg
Remind me at four thorty to check the cookies,at four thorty to check the cookies
Remind me at 3:10 pm today,Not Found
Please remind me after 15 minutes for food,Not Found
Can you set reminder for 18 December at 9 pm to book tickets for nations street food festival 2016,set reminder for 18 December at 9 pm to book tickets for nations street food festival 2016
U can remind till 10,Not Found
This reminder for Shivani pathak okk????,Not Found
Set an alarm at 8 am for tomorrow,Not Found
Yes komal go ahead,Not Found
again call me after 10 minutes,Not Found
Yeah thanks for reminding me,Not Found
Was the call made by you at 12?,call made by you at 12?
Please schedule it for everyday,Not Found
Nahi 9:15 Ko Mujhe Remind Karo,Not Found
Remind me that I have math tuition at 2:00pm,that I have math tuition at 2:00pm
"Also, remind on Monday thrice",thrice
Remind me on 16 Dec at 5 pm for bday of vikas,16 Dec at 5 pm for bday of vikas
I want this reminder daily,Not Found
Please remind me tomorrow at 1pm to mail my leave application,me tomorrow at 1pm to mail my leave application
Remind me to cal ravi kumar,cal ravi kumar
Remind me at 5pm to go veer hosiery,go veer hosiery
Reminder for electrochemical analysis today 11:30 am,Not Found
Make it for 10:30 am to call Jaineel,Not Found
OBC loan payment. Remind me each month on 28th at 10:30,each month on 28th at 10:30
Thanks for remind me,Not Found
Just tell me how this remainder option works?,Not Found
31st Dec 6:45 am 7:00 am 7:10 am Will you schedule all of these please?ðŸ˜ŒðŸ˜Œ,7:10 am Will you schedule all of these please?ðŸ˜ŒðŸ˜Œ
Reminder for roll num attest tomorrow at 10 am,roll num attest tomorrow at 10 am
Remind me to book movie tickets today at 12pm,book movie tickets today at 12pm
Need to keep reminder,keep reminder
16/1/2016 please remind about court in the morning 8am,remind about court in the morning 8am
I need a reminder at 5.50 pm sharp.,Not Found
9824671888,Not Found
Remind me for pollution check on 10/03/17at 8.45,for pollution check on 10/03/17at 8.45
reminder on friday at 9 am,friday at 9 am
If I uninstall haptic will I get reminders?,Phrase Not Found
thanks fr d reminder,Not Found
Please remind me for paying online for movie tickets,me for paying online for movie tickets
Remind me to eat tablets,eat tablets
Remind me my match,my match
One more birthday remainder please,Not Found
Could tell me about taj mahal,about taj mahal
Remind me at 10 o'clock tomorrow,Not Found
Will you remind me i have to watch movie?,remind me i have to watch movie?
Why are nt you calling me,Not Found
9811027464,Not Found
Please set a general reminder for today @ 5:00 p.m.,Not Found
Call me at 8 plZ,Not Found
Remind me at 10 15 am everyday,Not Found
"That's good service, can you send format of to do list ? Or how to prepare to do list ???",send format of to do list ? Or how to prepare to do list ???
Remind me for shoes g wing and wholesale t & c at 1 pm today and tomorrow both,for shoes g wing and wholesale t & c at 1 pm today and tomorrow both
On this 8th and 9th I arrange a meeting with military staff so please remind me at 9:30 am on those day,remind me at 9:30 am on those day
I wanted to set on more alarm,Not Found
21 Nov call to Jaini for Jmd var on 10am,Jaini for Jmd var on 10am
Can u Mee what was today's reminders of me,Not Found
Can u send automated message(scheduled) to any number,send automated message(scheduled) to any number
Schedule reminder at 3:10pm today for cheque issue,3:10pm today for cheque issue
I need a reminder at 11.55 pm January 6th,Not Found
Why there isn't any sound for reminding messages?,Phrase Not Found
Please remind me on :720 am,Not Found
Hi I need 3 reminders a day 1. 11.30 am for salad 2. 1.30 pm for lunch 3. 4 pm for fruits,3 reminders a day 1. 11.30 am for salad 2. 1.30 pm for lunch 3. 4 pm for fruits
Pls remind me...Tomorrow I have to submit Power quality analysis report hard copy...,submit Power quality analysis report hard copy...
Remaind me at 11.59 am yaa,Not Found
Ty for all the reminders,all the reminders
Put a reminder for me,Not Found
Remind me to bring atta from chakki today at 9.30pm,bring atta from chakki today at 9.30pm
"Hey, can you remind me to carry my laptop tomorrow morning?",remind me to carry my laptop tomorrow morning?
Can you remind me on my nu.mber 9269504000,my nu.mber 9269504000
Remind me to have a walk for every one hour in between 10 - 6pm,have a walk for every one hour in between 10 - 6pm
Yes thx want reminder daily,Not Found
Can u Remind me on buying gifts tomorrow for a contest at office may be around at 10:30 am tomorrow,Remind me on buying gifts tomorrow for a contest at office may be around at 10:30 am tomorrow
Plz remind m after 5 min,Not Found
Can u setup one reminder as well,Not Found
Hi Daniel...remind me to take Airtel connection,take Airtel connection
that reminder ws 12.30 pm,Not Found
Remind me to carry make up box,carry make up box
Thnqq for reminding me,Phrase Not Found
Call to 2ic tomorrow at 10.30 am,2ic tomorrow at 10.30 am
Why arw you calling me.,Phrase Not Found
Yes.,Not Found
Reminder to pay insurance premium,pay insurance premium
Remind me Raheja Plaza hearing on 11-1-17 @ 12-30pm,Raheja Plaza hearing on 11-1-17 @ 12-30pm
"Guys, inspite my repeated request you all are still sending me these useless reminders , what you want ? Should I downgrade your rating of your app or uninstall permanently.? Next reminder & I will do both thing so beware ðŸ‘¿ðŸ‘¿",will do both thing so beware ðŸ‘¿ðŸ‘¿
Set a reminder in 18th,Not Found
Remind me according to glasses,glasses
Remind me at 9am in the morning to change the order to 100kg each,change the order to 100kg each
I did get reminder,Not Found
One reminder for 9th November 00.00 am,Not Found
9829210008,Not Found
Remind me on Monday about tax submission by 3 pm,Monday about tax submission by 3 pm
This was such a small alarm,Not Found
All done madam.. thanks.. fortunately I remembered this,Phrase Not Found
Can u please remind me to bring my laptop to college on Tuesday,please remind me to bring my laptop to college on Tuesday
Remind me to have lunch at 2:30 pm today,have lunch at 2:30 pm today
Thank u lot for remembering I really appreciate this service,lot for remembering I really appreciate this service
Remind me to take my cheque book and bring it to office tomorrow,take my cheque book and bring it to office tomorrow
Hi.. I need reminder for folic acid only on Wednesdays.. Thanks,Not Found
Please remind me to visit Bsnl office on Monday 07.11.2016 at 13:30 pm,visit Bsnl office on Monday 07.11.2016 at 13:30 pm
Reminder at 6,Not Found
Want to set one reminder,Not Found
Oh s,Not Found
Reminder to punch in biometry,punch in biometry
Cool thanku soo much.... can u send me this msg detail along with a call that day?,send me this msg detail along with a call that day?
Remind me of a flight to Germany on 13th at 11 am,of a flight to Germany on 13th at 11 am
Please remind me to get the printout for a manual today at 7.30pm,get the printout for a manual today at 7.30pm
Schedule this for tomorrow,Not Found
I will let you know,Not Found
Afterwards,Not Found
Can you remind me to take deo on 24 th November at 4.45 pm,take deo on 24 th November at 4.45 pm
Sure thanks for reminding,Not Found
Reminder message should be,Phrase Not Found
Can you remind me through phone alert?,Not Found
7 am,Not Found
I want to remember a birthday,Not Found
Dont't reminder me for every 30 minutes,Not Found
Remind me for my cousin bday. At 23:50,for my cousin bday. At 23:50
Pls remind me on same task at 9 pm,same task at 9 pm
Pls set to 10 am to 6 pm only,Not Found
Reminder: management hour at 7:45pm today,Phrase Not Found
Can you set a reminder for me,Not Found
I should be able to make conference calls from my mobile. Can you help?,make conference calls from my mobile. Can you help?
Remind me to remind Rutu about training,remind Rutu about training
Please remember me I have to buy a CD to tomorrow at 5 p.m.,me I have to buy a CD to tomorrow at 5 p.m.
Call me at 12 45 pm,Not Found
Thanks..,Not Found
"Thanks for the reminder, I had now",Not Found
"If u remind me to study, then it will be much appreciated :p","study, then it will be much appreciated :p"
Will i get my 6:30 pm call,Phrase Not Found
Where is my call,Phrase Not Found
Hey sayali can you please remind me bring photo to college,please remind me bring photo to college
Hi can I send reminders to my colleagues as well,my colleagues as well
This Sunday.. Got a meeting with subesh sir. Schedule Tht for me please,Phrase Not Found
Remind me to book a cab at 6 o clock,book a cab at 6 o clock
Good morning shreya,Not Found
Tell me something about Amazon,something about Amazon
Today at 12,Phrase Not Found
I need 2 calls one fr 7.00 am n another for 7.30 am,Not Found
Make me remind tomorrow,Phrase Not Found
Keep remaining me about creating my own software for my company for this two weeks. From morning 10am to 6 pm every 2hours once.,creating my own software for my company for this two weeks. From morning 10am to 6 pm every 2hours once.
Set reminder for 1:30 as i have to study bst,for 1:30 as i have to study bst
Thanks a lot to remind me,Not Found
Reminder for getting party games organzined,getting party games organzined
Pls set a alarm for 8 Am,Not Found
Call me at 9 am,Not Found
Will u remind me daily,Not Found
Where is aspirin reminder?,Phrase Not Found
Pleaze remind me to download the gs notes today 9:30 Pm,download the gs notes today 9:30 Pm
Cud u plz set a reminder for me,Not Found
Remind me to have sex at 8pm,have sex at 8pm
Can you change my time 2 reminder of 10am to 10pm?,Not Found
But I ddnt get a cl from ur side for this reminder,Not Found
Remind me to take a haircut on the 25th at 6pm,take a haircut on the 25th at 6pm
Gayathri 03/01/17 5.10,Phrase Not Found
Does the phone have to be on to get the reminder,be on to get the reminder
Yes.. You can remind me every day,Not Found
Can you please set this up,Not Found
Can u pls remind me to make a list for all rip and repair styles in one folder,pls remind me to make a list for all rip and repair styles in one folder
To which number you call?,Phrase Not Found
Reminder for journey,Not Found
One more reminder at 11 am tomorrow to collect post office 5 year term deposit.,at 11 am tomorrow to collect post office 5 year term deposit.
"Hi .... please remind me to buy deo, pet food, nd grocery","remind me to buy deo, pet food, nd grocery"
Nopes i want you guys to make that call,make that call
"Like movie tickets , cabs ,etc. There must be another option. Like person assistance. Just a suggestion . Think about it.",another option. Like person assistance. Just a suggestion . Think about it.
Tomorrow poshan ahar meeting place reminder me at 9 am,at 9 am
Remind me about my daughters pajama party on 16.12.16,about my daughters pajama party on 16.12.16
Make it a schedule for all week days,Not Found
Can u Plz remind me to collect a frame @ 5,Plz remind me to collect a frame @ 5
One more reminder for s for tomo at 9.30 am,Not Found
Remind me about Aadhar card,about Aadhar card
Remind Saloni about Stacy courier on 29th November 2016 at 11am,Phrase Not Found
Set the alarm for 8am everyday,Not Found
Every month of 20th I need remainder,Not Found
Set reminder at 2:30 pm To note down the result of aldol condensation,at 2:30 pm To note down the result of aldol condensation
Remind me to hear kal ho na ho song on jan 7 at 3pm,hear kal ho na ho song on jan 7 at 3pm
Yes remind me every monday to friday,Not Found
Remind me to Go for police verification,Go for police verification
Also schedule the same for 7am and 7:30am too,Not Found
Thnaks,Not Found
Thanks neha. So nice of u,Phrase Not Found
didi can u stp all my reminders plz,stp all my reminders plz
Remind me at 15.25 to go to meeting,go to meeting
Remind me to leave for Vaishali at 4 pm today,leave for Vaishali at 4 pm today
Please set the alarm for me at 9 clock sharp tomrow,Not Found
Remind messaginf Geet for blazer and nehru jacket at 10.30pm today.,Phrase Not Found
Can you set 2 alarms please?,Not Found
I need that reminder daily,Not Found
I want you to remind me on 02472222987,Not Found
Two reminders these are,Not Found
Yes make me remind ....I have onenyt stand with my gf tonight ..plz make me remember at 9,onenyt stand with my gf tonight ..plz make me remember at 9
"My paper is on 19nov 2016 Time 10am Remind me weather I talk my admit card , photo copy and proof of photo identity","weather I talk my admit card , photo copy and proof of photo identity"
Pls make continues reminder,Not Found
Please remind me on 19th Jan about Chitra nakshtra,19th Jan about Chitra nakshtra
Want to set reminder for milk every day 5.30 PM.,Not Found
Remember me to study,study
Please remind me to buy meftal spa in the morning. At around 8.30 am and again remind me at 9 am.,buy meftal spa in the morning. At around 8.30 am and again remind me at 9 am.
Remind me to pick a bag from friend home,pick a bag from friend home
Remind me to Upload money back challenge report tomorrow morning,Upload money back challenge report tomorrow morning
